date,station,fuel_type,effective_date,price
2025-08-19,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,32.55
2025-08-19,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,32.55
2025-08-19,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,33.05
2025-08-20,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,32.55
2025-08-20,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,32.55
2025-08-20,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,33.05
2025-08-21,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,32.55
2025-08-21,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,32.55
2025-08-21,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,33.05
2025-08-22,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,32.55
2025-08-22,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,32.55
2025-08-22,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Aug 05:00,33.05
2025-08-23,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-23,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-23,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-08-24,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-24,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-24,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-08-25,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-25,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-25,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-08-26,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-26,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-26,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-08-27,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-27,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-27,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-08-28,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-28,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-28,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-08-29,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-29,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-29,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-08-30,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-30,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-30,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-08-31,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-31,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-08-31,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-09-01,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-01,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-01,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-09-02,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-02,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-02,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-09-03,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-03,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-03,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-09-04,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-04,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-04,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-09-05,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-05,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-05,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-09-06,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-06,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-06,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-09-07,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-07,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-07,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
2025-09-08,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-08,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,32.95
2025-09-08,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22 Aug 05:00,33.45
