date,price_Bangchak,price_PTT,price_Shell,effective_date
2025-01-01,36.25,36.25,36.75,20 Dec 05:00
2025-01-02,36.25,36.25,36.75,20 Dec 05:00
2025-01-03,36.25,36.25,36.75,20 Dec 05:00
2025-01-04,35.95,35.95,36.45,03 Jan 05:00
2025-01-05,35.95,35.95,36.45,03 Jan 05:00
2025-01-06,35.95,35.95,36.45,03 Jan 05:00
2025-01-07,35.95,35.95,36.45,03 Jan 05:00
2025-01-08,35.95,35.95,36.45,03 Jan 05:00
2025-01-09,35.95,35.95,36.45,03 Jan 05:00
2025-01-10,35.95,35.95,36.45,03 Jan 05:00
2025-01-11,35.95,35.95,36.45,03 Jan 05:00
2025-01-12,35.65,35.65,36.15,11 Jan 05:00
2025-01-13,35.65,35.65,36.15,11 Jan 05:00
2025-01-14,35.65,35.65,36.15,11 Jan 05:00
2025-01-15,35.65,35.65,36.15,11 Jan 05:00
2025-01-16,36.15,36.15,36.65,15 Jan 05:00
2025-01-17,36.15,36.15,36.65,15 Jan 05:00
2025-01-18,36.15,36.15,36.65,15 Jan 05:00
2025-01-19,36.15,36.15,36.65,15 Jan 05:00
2025-01-20,36.15,36.15,36.65,15 Jan 05:00
2025-01-21,36.15,36.15,36.65,15 Jan 05:00
2025-01-22,36.15,36.15,36.65,15 Jan 05:00
2025-01-23,36.15,36.15,36.65,15 Jan 05:00
2025-01-24,35.75,35.75,36.25,23 Jan 05:00
2025-01-25,35.75,35.75,36.25,23 Jan 05:00
2025-01-26,35.75,35.75,36.25,23 Jan 05:00
2025-01-27,35.75,35.75,36.25,23 Jan 05:00
2025-01-28,35.75,35.75,36.25,23 Jan 05:00
2025-01-29,35.75,35.75,36.25,23 Jan 05:00
2025-01-30,35.75,35.75,36.25,23 Jan 05:00
2025-01-31,35.75,35.75,36.25,23 Jan 05:00
2025-02-01,35.75,35.75,36.25,23 Jan 05:00
2025-02-02,35.75,35.75,36.25,23 Jan 05:00
2025-02-03,35.75,35.75,36.25,23 Jan 05:00
2025-02-04,35.75,35.75,36.25,23 Jan 05:00
2025-02-05,35.75,35.75,36.25,23 Jan 05:00
2025-02-06,35.75,35.75,36.25,23 Jan 05:00
2025-02-07,35.35,35.35,35.85,06 Feb 05:00
2025-02-08,35.35,35.35,35.85,06 Feb 05:00
2025-02-09,35.35,35.35,35.85,06 Feb 05:00
2025-02-10,35.35,35.35,35.85,06 Feb 05:00
2025-02-11,35.35,35.35,35.85,06 Feb 05:00
2025-02-12,35.35,35.35,35.85,06 Feb 05:00
2025-02-13,35.35,35.35,35.85,06 Feb 05:00
2025-02-14,35.35,35.35,35.85,06 Feb 05:00
2025-02-15,35.35,35.35,35.85,06 Feb 05:00
2025-02-16,35.35,35.35,35.85,06 Feb 05:00
2025-02-17,35.35,35.35,35.85,06 Feb 05:00
2025-02-18,35.35,35.35,35.85,06 Feb 05:00
2025-02-19,35.35,35.35,35.85,06 Feb 05:00
2025-02-20,35.35,35.35,35.85,06 Feb 05:00
2025-02-21,35.65,35.65,36.15,20 Feb 05:00
2025-02-22,35.65,35.65,36.15,20 Feb 05:00
2025-02-23,35.65,35.65,36.15,20 Feb 05:00
2025-02-24,35.65,35.65,36.15,20 Feb 05:00
2025-02-25,35.65,35.65,36.15,20 Feb 05:00
2025-02-26,35.65,35.65,36.15,20 Feb 05:00
2025-02-27,35.65,35.65,36.15,20 Feb 05:00
2025-02-28,35.65,35.65,36.15,20 Feb 05:00
2025-03-01,35.35,35.35,35.85,28 Feb 05:00
2025-03-02,35.35,35.35,35.85,28 Feb 05:00
2025-03-03,35.35,35.35,35.85,28 Feb 05:00
2025-03-04,35.35,35.35,35.85,28 Feb 05:00
2025-03-05,35.35,35.35,35.85,28 Feb 05:00
2025-03-06,35.35,35.35,35.85,28 Feb 05:00
2025-03-07,34.95,34.95,35.45,06 Mar 05:00
2025-03-08,34.95,34.95,35.45,06 Mar 05:00
2025-03-09,34.95,34.95,35.45,06 Mar 05:00
2025-03-10,34.95,34.95,35.45,06 Mar 05:00
2025-03-11,34.95,34.95,35.45,06 Mar 05:00
2025-03-12,34.65,34.65,35.15,11 Mar 05:00
2025-03-13,34.65,34.65,35.15,11 Mar 05:00
2025-03-14,34.65,34.65,35.15,11 Mar 05:00
2025-03-15,34.65,34.65,35.15,11 Mar 05:00
2025-03-16,34.65,34.65,35.15,11 Mar 05:00
2025-03-17,34.65,34.65,35.15,11 Mar 05:00
2025-03-18,34.65,34.65,35.15,11 Mar 05:00
2025-03-19,34.65,34.65,35.15,11 Mar 05:00
2025-03-20,34.65,34.65,35.15,11 Mar 05:00
2025-03-21,34.65,34.65,35.15,11 Mar 05:00
2025-03-22,34.65,34.65,35.15,11 Mar 05:00
2025-03-23,34.65,34.65,35.15,11 Mar 05:00
2025-03-24,34.65,34.65,35.15,11 Mar 05:00
2025-03-25,34.65,34.65,35.15,11 Mar 05:00
2025-03-26,34.65,34.65,35.15,11 Mar 05:00
2025-03-27,34.65,34.65,35.15,11 Mar 05:00
2025-03-28,34.65,34.65,35.15,11 Mar 05:00
2025-03-29,34.15,34.15,34.65,28 Mar 05:00
2025-03-30,34.15,34.15,34.65,28 Mar 05:00
2025-03-31,34.15,34.15,34.65,28 Mar 05:00
2025-04-01,34.15,34.15,34.65,28 Mar 05:00
2025-04-02,34.15,34.15,34.65,28 Mar 05:00
2025-04-03,34.15,34.15,34.65,28 Mar 05:00
2025-04-04,34.15,34.15,34.65,28 Mar 05:00
2025-04-05,33.65,33.65,34.15,04 Apr 05:00
2025-04-06,33.65,33.65,34.15,04 Apr 05:00
2025-04-07,33.65,33.65,34.15,04 Apr 05:00
2025-04-08,33.65,33.65,34.15,04 Apr 05:00
2025-04-09,33.65,33.65,34.15,04 Apr 05:00
2025-04-10,33.15,33.15,33.65,09 Apr 05:00
