date,effective_date,price_Bangchak,price_PTT,price_Shell
2022-01-02,24 Dec 05:00,31.15,31.15,
2022-01-02,29 Dec 05:00,,,31.85
2022-01-03,24 Dec 05:00,31.15,31.15,
2022-01-03,29 Dec 05:00,,,31.85
2022-01-04,24 Dec 05:00,31.15,31.15,
2022-01-04,29 Dec 05:00,,,31.85
2022-01-05,24 Dec 05:00,31.15,31.15,
2022-01-05,29 Dec 05:00,,,31.85
2022-01-06,05 Jan 05:00,31.75,31.75,32.05
2022-01-07,05 Jan 05:00,31.75,31.75,32.05
2022-01-08,05 Jan 05:00,31.75,31.75,
2022-01-08,07 Jan 05:00,,,32.35
2022-01-09,08 Jan 05:00,31.75,31.75,32.75
2022-01-10,08 Jan 05:00,31.75,31.75,32.75
2022-01-11,08 Jan 05:00,31.75,31.75,32.75
2022-01-12,08 Jan 05:00,,,32.75
2022-01-12,11 Jan 05:00,32.15,32.15,
2022-01-13,08 Jan 05:00,,,32.75
2022-01-13,11 Jan 05:00,32.15,32.15,
2022-01-14,11 Jan 05:00,32.15,32.15,
2022-01-14,13 Jan 05:00,,,32.75
2022-01-15,14 Jan 05:00,32.65,32.65,32.95
2022-01-16,14 Jan 05:00,32.65,32.65,32.95
2022-01-17,14 Jan 05:00,32.65,32.65,32.95
2022-01-18,14 Jan 05:00,32.65,32.65,32.95
2022-01-19,14 Jan 05:00,32.65,32.65,
2022-01-19,18 Jan 05:00,,,33.15
2022-01-20,14 Jan 05:00,32.65,32.65,
2022-01-20,18 Jan 05:00,,,33.15
2022-01-21,20 Jan 05:00,33.15,33.15,33.35
2022-01-22,20 Jan 05:00,33.15,33.15,33.35
2022-01-23,20 Jan 05:00,33.15,33.15,
2022-01-23,22 Jan 05:00,,,33.75
2022-01-24,20 Jan 05:00,33.15,33.15,
2022-01-24,22 Jan 05:00,,,33.75
2022-01-25,20 Jan 05:00,33.15,33.15,
2022-01-25,22 Jan 05:00,,,33.75
2022-01-26,25 Jan 05:00,33.55,33.55,34.15
2022-01-27,25 Jan 05:00,33.55,33.55,
2022-01-27,26 Jan 05:00,,,33.95
2022-01-28,25 Jan 05:00,33.55,33.55,
2022-01-28,26 Jan 05:00,,,33.95
2022-01-29,28 Jan 05:00,34.05,34.05,34.55
