date,effective_date,price_Bangchak,price_PTT,price_Shell
2019-01-01,28 Dec 05:00,25.75,25.75,25.75
2019-01-02,28 Dec 05:00,25.75,25.75,25.75
2019-01-03,28 Dec 05:00,25.75,25.75,25.75
2019-01-04,28 Dec 05:00,25.75,25.75,25.75
2019-01-05,28 Dec 05:00,25.75,25.75,25.75
2019-01-06,28 Dec 05:00,25.75,25.75,25.75
2019-01-07,27 Dec 05:00,25.75,25.75,25.75
2019-01-08,28 Dec 05:00,25.75,25.75,25.75
2019-01-09,27 Dec 05:00,25.75,25.75,26.25
2019-01-10,09 Jan 05:00,26.25,26.25,26.25
2019-01-11,09 Jan 05:00,26.25,26.25,26.25
2019-01-12,11 Jan 05:00,26.75,26.75,26.75
2019-01-13,11 Jan 05:00,26.75,26.75,26.75
2019-01-14,11 Jan 05:00,26.75,26.75,26.75
2019-01-15,14 Jan 05:00,26.75,26.75,26.75
2019-01-16,14 Jan 05:00,26.75,26.75,26.75
2019-01-17,16 Jan 05:00,26.35,26.35,26.75
2019-01-18,17 Jan 05:00,26.35,26.35,26.35
2019-01-19,17 Jan 05:00,26.35,26.35,26.35
2019-01-20,17 Jan 05:00,26.35,26.35,26.35
2019-01-21,16 Jan 05:00,26.35,26.35,26.35
2019-01-22,17 Jan 05:00,26.35,26.35,26.35
2019-01-23,22 Jan 05:00,26.75,26.75,26.75
2019-01-24,22 Jan 05:00,26.75,26.75,26.75
2019-01-25,22 Jan 05:00,26.75,26.75,26.75
2019-01-26,22 Jan 05:00,26.75,26.75,26.75
2019-01-27,26 Jan 05:00,26.35,26.35,26.35
2019-01-28,26 Jan 05:00,26.35,26.35,26.35
2019-01-29,26 Jan 05:00,26.35,26.35,26.35
2019-01-30,26 Jan 05:00,26.35,26.35,26.35
2019-01-31,30 Jan 05:00,26.35,26.35,26.35
2019-02-01,30 Jan 05:00,26.35,26.35,26.35
2019-02-02,30 Jan 05:00,26.35,26.35,26.35
2019-02-03,30 Jan 05:00,26.35,26.35,26.35
2019-02-04,30 Jan 05:00,26.35,26.35,26.35
2019-02-05,30 Jan 05:00,26.35,26.35,26.35
2019-02-06,05 Feb 05:00,26.75,26.75,26.75
2019-02-07,05 Feb 05:00,26.75,26.75,26.75
2019-02-08,06 Feb 05:00,26.75,26.75,26.75
2019-02-09,06 Feb 05:00,26.75,26.75,26.75
2019-02-10,06 Feb 05:00,26.75,26.75,26.75
2019-02-11,06 Feb 05:00,26.75,26.75,26.75
2019-02-12,06 Feb 05:00,26.75,26.75,26.75
2019-02-13,06 Feb 05:00,26.75,26.75,26.75
2019-02-14,05 Feb 05:00,26.75,26.75,26.75
2019-02-15,06 Feb 05:00,26.75,26.75,26.75
2019-02-16,15 Feb 05:00,26.75,26.75,26.75
2019-02-17,15 Feb 05:00,26.75,26.75,26.75
2019-02-18,15 Feb 05:00,26.75,26.75,26.75
2019-02-19,18 Feb 05:00,27.15,27.15,27.15
2019-02-20,18 Feb 05:00,27.15,27.15,27.15
2019-02-21,18 Feb 05:00,27.15,27.15,27.15
2019-02-22,21 Feb 05:00,27.55,27.55,27.55
2019-02-23,21 Feb 05:00,27.55,27.55,27.55
2019-02-24,21 Feb 05:00,27.55,27.55,27.55
2019-02-25,21 Feb 05:00,27.55,27.55,27.55
2019-02-26,21 Feb 05:00,27.55,27.55,27.55
2019-02-27,21 Feb 05:00,27.55,27.55,27.55
2019-02-28,21 Feb 05:00,27.55,27.55,27.55
2019-03-01,21 Feb 05:00,27.55,27.55,27.55
2019-03-02,21 Feb 05:00,27.55,27.55,27.55
2019-03-03,02 Mar 05:00,27.95,27.95,27.95
2019-03-04,02 Mar 05:00,27.95,27.95,27.95
2019-03-05,02 Mar 05:00,27.95,27.95,27.95
2019-03-06,02 Mar 05:00,27.95,27.95,27.95
2019-03-07,06 Mar 05:00,27.95,27.95,27.95
2019-03-08,06 Mar 05:00,27.95,27.95,27.95
2019-03-09,06 Mar 05:00,27.95,27.95,27.95
2019-03-10,06 Mar 05:00,27.95,27.95,27.95
2019-03-11,06 Mar 05:00,27.95,27.95,27.95
2019-03-12,11 Mar 05:00,28.45,28.45,28.45
2019-03-13,11 Mar 05:00,28.45,28.45,28.45
2019-03-14,11 Mar 05:00,28.45,28.45,28.45
2019-03-15,11 Mar 05:00,28.45,28.45,28.45
2019-03-16,11 Mar 05:00,28.45,28.45,28.45
2019-03-17,16 Mar 05:00,28.85,28.85,28.85
2019-03-18,16 Mar 05:00,28.85,28.85,28.85
2019-03-19,16 Mar 05:00,28.85,28.85,28.85
2019-03-20,16 Mar 05:00,28.85,28.85,28.85
2019-03-21,16 Mar 05:00,28.85,28.85,28.85
2019-03-22,16 Mar 05:00,28.85,28.85,28.85
2019-03-23,16 Mar 05:00,28.85,28.85,28.85
2019-03-24,16 Mar 05:00,28.85,28.85,28.85
2019-03-25,16 Mar 05:00,28.85,28.85,28.85
2019-03-26,16 Mar 05:00,28.85,28.85,28.85
2019-03-27,16 Mar 05:00,28.85,28.85,28.85
2019-03-28,16 Mar 05:00,28.85,28.85,28.85
2019-03-29,16 Mar 05:00,28.85,28.85,28.85
2019-03-30,29 Mar 05:00,29.25,29.25,29.25
2019-03-31,29 Mar 05:00,29.25,29.25,29.25
2019-04-01,29 Mar 05:00,29.25,29.25,29.25
2019-04-02,29 Mar 05:00,29.25,29.25,29.25
2019-04-03,29 Mar 05:00,29.25,29.25,29.25
2019-04-04,29 Mar 05:00,29.25,29.25,29.25
2019-04-05,29 Mar 05:00,29.25,29.25,29.25
2019-04-06,29 Mar 05:00,29.25,29.25,29.25
2019-04-07,29 Mar 05:00,29.25,29.25,29.25
2019-04-08,29 Mar 05:00,29.25,29.25,29.25
2019-04-09,29 Mar 05:00,29.25,29.25,29.25
2019-04-10,29 Mar 05:00,29.25,29.25,29.25
2019-04-11,29 Mar 05:00,29.25,29.25,29.25
2019-04-12,29 Mar 05:00,29.25,29.25,29.25
2019-04-13,29 Mar 05:00,29.25,29.25,29.25
2019-04-14,29 Mar 05:00,29.25,29.25,29.25
2019-04-15,29 Mar 05:00,29.25,29.25,29.25
2019-04-16,29 Mar 05:00,29.25,29.25,29.25
2019-04-17,29 Mar 05:00,29.25,29.25,29.25
2019-04-18,29 Mar 05:00,29.25,29.25,29.25
2019-04-19,29 Mar 05:00,29.25,29.25,29.25
2019-04-20,19 Apr 05:00,29.75,29.75,29.75
2019-04-21,19 Apr 05:00,29.75,29.75,29.75
2019-04-22,19 Apr 05:00,29.75,29.75,29.75
2019-04-23,19 Apr 05:00,29.75,29.75,29.75
2019-04-24,23 Apr 05:00,29.75,29.75,30.15
2019-04-25,24 Apr 05:00,30.15,30.15,30.15
2019-04-26,24 Apr 05:00,30.15,30.15,30.15
2019-04-27,24 Apr 05:00,30.15,30.15,30.15
2019-04-28,27 Apr 05:00,30.45,30.45,30.45
2019-04-29,27 Apr 05:00,30.45,30.45,30.45
2019-04-30,27 Apr 05:00,30.45,30.45,30.45
2019-05-01,30 Apr 05:00,30.05,30.05,30.05
2019-05-02,30 Apr 05:00,30.05,30.05,30.05
2019-05-03,30 Apr 05:00,30.05,30.05,30.05
2019-05-04,30 Apr 05:00,30.05,30.05,30.05
2019-05-05,30 Apr 05:00,30.05,30.05,30.05
2019-05-06,30 Apr 05:00,29.65,29.65,30.05
2019-05-07,30 Apr 05:00,29.65,29.65,30.05
2019-05-08,30 Apr 05:00,29.65,29.65,30.05
2019-05-09,05 May 05:00,29.65,29.65,29.65
2019-05-10,08 May 05:00,29.65,29.65,29.65
2019-05-11,10 May 05:00,29.15,29.15,29.15
2019-05-12,10 May 05:00,29.15,29.15,29.15
2019-05-13,10 May 05:00,29.15,29.15,29.15
2019-05-14,10 May 05:00,29.15,29.15,29.15
2019-05-15,10 May 05:00,29.15,29.15,29.15
2019-05-16,10 May 05:00,29.15,29.15,29.15
2019-05-17,10 May 05:00,29.15,29.15,29.15
2019-05-18,10 May 05:00,29.15,29.15,29.15
2019-05-19,18 May 05:00,29.55,29.55,29.55
2019-05-20,18 May 05:00,29.55,29.55,29.55
2019-05-21,18 May 05:00,29.55,29.55,29.55
2019-05-22,18 May 05:00,29.55,29.55,29.55
2019-05-23,18 May 05:00,29.55,29.55,29.55
2019-05-24,18 May 05:00,29.55,29.55,29.55
2019-05-25,18 May 05:00,29.55,29.55,29.55
2019-05-26,25 May 05:00,29.05,29.05,29.05
2019-05-27,25 May 05:00,29.05,29.05,29.05
2019-05-28,25 May 05:00,29.05,29.05,29.05
2019-05-29,25 May 05:00,29.05,29.05,29.05
2019-05-30,29 May 05:00,28.75,28.75,29.05
2019-05-31,30 May 05:00,28.75,28.75,28.75
2019-06-01,29 May 05:00,28.75,28.75,28.75
2019-06-02,01 Jun 05:00,28.35,28.35,28.35
2019-06-03,01 Jun 05:00,28.35,28.35,28.35
2019-06-04,01 Jun 05:00,28.35,28.35,28.35
2019-06-05,01 Jun 05:00,28.35,28.35,28.35
2019-06-06,05 Jun 05:00,27.75,27.75,27.75
2019-06-07,05 Jun 05:00,27.75,27.75,27.75
2019-06-08,07 Jun 05:00,27.35,27.35,27.35
2019-06-09,07 Jun 05:00,27.35,27.35,27.35
2019-06-10,07 Jun 05:00,27.35,27.35,27.35
2019-06-11,07 Jun 05:00,27.35,27.35,27.35
2019-06-12,07 Jun 05:00,27.35,27.35,27.35
2019-06-13,07 Jun 05:00,27.35,27.35,27.35
2019-06-14,13 Jun 05:00,27.05,27.05,27.05
2019-06-15,13 Jun 05:00,27.05,27.05,27.05
2019-06-16,13 Jun 05:00,27.05,27.05,27.05
2019-06-17,13 Jun 05:00,27.05,27.05,27.05
2019-06-18,13 Jun 05:00,27.05,27.05,27.05
2019-06-19,13 Jun 05:00,27.05,27.05,27.05
2019-06-20,13 Jun 05:00,27.05,27.05,27.05
2019-06-21,13 Jun 05:00,27.05,27.05,27.05
2019-06-22,13 Jun 05:00,27.05,27.05,27.05
2019-06-23,22 Jun 05:00,27.45,27.45,27.45
2019-06-24,22 Jun 05:00,27.45,27.45,27.45
2019-06-25,22 Jun 05:00,27.45,27.45,27.45
2019-06-26,22 Jun 05:00,27.45,27.45,27.45
2019-06-27,22 Jun 05:00,27.45,27.45,27.45
2019-06-28,22 Jun 05:00,27.45,27.45,27.45
2019-06-29,28 Jun 05:00,27.85,27.85,27.85
2019-06-30,28 Jun 05:00,27.85,27.85,27.85
2019-07-01,28 Jun 05:00,27.85,27.85,27.85
2019-07-02,28 Jun 05:00,27.85,27.85,27.85
2019-07-03,28 Jun 05:00,27.85,27.85,27.85
2019-07-04,28 Jun 05:00,27.85,27.85,27.85
2019-07-05,28 Jun 05:00,27.85,27.85,27.85
2019-07-06,28 Jun 05:00,27.85,27.85,27.85
2019-07-07,06 Jul 05:00,27.55,27.55,27.55
