date,effective_date,price_Bangchak,price_PTT,price_Shell
2021-01-01,28 Dec 05:00,22.75,22.75,22.75
2021-01-02,28 Dec 05:00,22.75,22.75,22.75
2021-01-03,28 Dec 05:00,22.75,22.75,22.75
2021-01-04,28 Dec 05:00,22.75,22.75,22.75
2021-01-05,28 Dec 05:00,22.75,22.75,22.75
2021-01-06,24 Dec 05:00,22.75,22.75,23.25
2021-01-07,06 Jan 05:00,23.25,23.25,23.25
2021-01-08,06 Jan 05:00,23.25,23.25,23.25
2021-01-09,06 Jan 05:00,23.25,23.25,23.55
2021-01-10,09 Jan 05:00,23.55,23.55,23.55
2021-01-11,09 Jan 05:00,23.55,23.55,23.55
2021-01-12,09 Jan 05:00,23.55,23.55,23.55
2021-01-13,12 Jan 05:00,24.05,24.05,24.05
2021-01-14,12 Jan 05:00,24.05,24.05,24.05
2021-01-15,14 Jan 05:00,24.05,24.05,24.05
2021-01-16,14 Jan 05:00,24.05,24.05,24.05
2021-01-17,16 Jan 05:00,24.45,24.45,24.45
2021-01-18,16 Jan 05:00,24.45,24.45,24.45
2021-01-19,16 Jan 05:00,24.45,24.45,24.45
2021-01-20,19 Jan 05:00,24.25,24.25,24.25
2021-01-21,19 Jan 05:00,24.25,24.25,24.25
2021-01-22,19 Jan 05:00,24.25,24.25,24.25
2021-01-23,19 Jan 05:00,24.25,24.25,24.25
2021-01-24,19 Jan 05:00,24.25,24.25,24.25
2021-01-25,19 Jan 05:00,24.25,24.25,24.25
2021-01-26,19 Jan 05:00,24.25,24.25,24.25
2021-01-27,26 Jan 05:00,24.25,24.25,24.55
2021-01-28,26 Jan 05:00,24.25,24.25,24.55
2021-01-29,19 Jan 05:00,24.25,24.25,24.55
2021-01-30,29 Jan 05:00,24.25,24.25,24.25
2021-01-31,29 Jan 05:00,24.25,24.25,24.25
2021-02-01,29 Jan 05:00,24.25,24.25,24.25
2021-02-02,19 Jan 05:00,24.25,24.25,24.25
2021-02-03,19 Jan 05:00,24.25,24.25,24.25
2021-02-04,19 Jan 05:00,24.25,24.25,24.65
2021-02-05,04 Feb 05:00,24.65,24.65,24.95
2021-02-06,04 Feb 05:00,24.65,24.65,24.95
2021-02-07,06 Feb 05:00,24.95,24.95,24.95
2021-02-08,06 Feb 05:00,24.95,24.95,24.95
2021-02-09,04 Feb 05:00,24.95,24.95,24.95
2021-02-10,09 Feb 05:00,24.95,24.95,25.45
2021-02-11,10 Feb 05:00,25.45,25.45,25.45
2021-02-12,10 Feb 05:00,25.45,25.45,25.45
2021-02-13,12 Feb 05:00,25.45,25.45,25.45
2021-02-14,10 Feb 05:00,25.45,25.45,25.45
2021-02-15,12 Feb 05:00,25.45,25.45,25.45
2021-02-16,12 Feb 05:00,25.45,25.45,25.45
2021-02-17,16 Feb 05:00,25.45,25.45,25.95
2021-02-18,17 Feb 05:00,25.45,25.45,25.95
2021-02-19,17 Feb 05:00,25.45,25.45,25.45
2021-02-20,19 Feb 05:00,25.45,25.45,26.05
2021-02-21,20 Feb 05:00,26.05,26.05,26.05
2021-02-22,20 Feb 05:00,26.05,26.05,26.05
2021-02-23,19 Feb 05:00,26.05,26.05,26.05
2021-02-24,20 Feb 05:00,26.05,26.05,26.05
2021-02-25,24 Feb 05:00,26.05,26.05,26.45
2021-02-26,25 Feb 05:00,26.05,26.05,26.05
2021-02-27,25 Feb 05:00,26.05,26.05,26.05
2021-02-28,26 Feb 05:00,26.05,26.05,26.55
2021-03-01,26 Feb 05:00,26.05,26.05,26.55
2021-03-02,26 Feb 05:00,26.05,26.05,26.55
2021-03-03,20 Feb 05:00,26.05,26.05,26.55
2021-03-04,03 Mar 00:01,25.75,25.75,26.05
2021-03-05,03 Mar 05:00,25.75,25.75,26.05
2021-03-06,03 Mar 05:00,25.75,25.75,26.05
2021-03-07,06 Mar 05:00,26.05,26.05,26.05
2021-03-08,07 Mar 05:00,26.05,26.05,26.65
2021-03-09,06 Mar 05:00,26.05,26.05,26.65
2021-03-10,09 Mar 05:00,26.65,26.65,27.15
2021-03-11,10 Mar 05:00,26.65,26.65,26.85
2021-03-12,11 Mar 05:00,26.65,26.65,26.65
2021-03-13,12 Mar 05:00,26.65,26.65,27.05
2021-03-14,12 Mar 05:00,27.05,27.05,27.05
2021-03-15,13 Mar 05:00,27.05,27.05,27.05
2021-03-16,13 Mar 05:00,27.05,27.05,27.05
2021-03-17,16 Mar 05:00,27.05,27.05,27.65
2021-03-18,17 Mar 05:00,27.65,27.65,27.65
2021-03-19,18 Mar 05:00,27.25,27.25,27.25
2021-03-20,18 Mar 05:00,27.25,27.25,27.25
2021-03-21,20 Mar 05:00,26.85,26.85,26.85
2021-03-22,20 Mar 05:00,26.85,26.85,26.85
2021-03-23,20 Mar 05:00,26.85,26.85,26.85
2021-03-24,20 Mar 05:00,26.85,26.85,26.85
2021-03-25,24 Mar 05:00,26.55,26.55,26.55
2021-03-26,24 Mar 05:00,26.55,26.55,26.55
2021-03-27,24 Mar 05:00,26.55,26.55,26.55
2021-03-28,24 Mar 05:00,26.15,26.15,26.55
2021-03-29,27 Mar 05:00,26.15,26.15,26.55
2021-03-30,29 Mar 05:00,26.15,26.15,26.15
2021-03-31,29 Mar 05:00,26.15,26.15,26.15
2021-04-01,31 Mar 05:00,26.65,26.65,26.65
2021-04-02,31 Mar 05:00,26.65,26.65,26.65
2021-04-03,31 Mar 05:00,26.65,26.65,26.65
2021-04-04,31 Mar 05:00,26.65,26.65,26.65
2021-04-05,31 Mar 05:00,26.65,26.65,26.65
2021-04-06,31 Mar 05:00,26.65,26.65,26.65
2021-04-07,31 Mar 05:00,26.65,26.65,26.85
2021-04-08,31 Mar 05:00,26.65,26.65,26.85
2021-04-09,08 Apr 05:00,26.65,26.65,26.65
2021-04-10,31 Mar 05:00,26.65,26.65,26.65
2021-04-11,31 Mar 05:00,26.65,26.65,26.65
2021-04-12,31 Mar 05:00,26.65,26.65,26.65
2021-04-13,08 Apr 05:00,26.65,26.65,26.65
2021-04-14,08 Apr 05:00,26.65,26.65,26.65
2021-04-15,31 Mar 05:00,26.65,26.65,26.65
2021-04-16,31 Mar 05:00,26.65,26.65,26.65
2021-04-17,31 Mar 05:00,26.65,26.65,26.65
2021-04-18,08 Apr 05:00,26.65,26.65,26.65
2021-04-19,08 Apr 05:00,26.65,26.65,26.65
2021-04-20,31 Mar 05:00,26.65,26.65,27.25
2021-04-21,20 Apr 05:00,27.25,27.25,27.25
2021-04-22,21 Apr 05:00,27.25,27.25,27.65
2021-04-23,21 Apr 05:00,27.25,27.25,27.65
2021-04-24,21 Apr 05:00,27.25,27.25,27.65
2021-04-25,24 Apr 05:00,26.85,26.85,26.85
2021-04-26,24 Apr 05:00,26.85,26.85,26.85
2021-04-27,24 Apr 05:00,26.85,26.85,26.85
2021-04-28,24 Apr 05:00,26.85,26.85,26.85
2021-04-29,28 Apr 05:00,26.85,26.85,27.25
2021-04-30,24 Apr 05:00,26.85,26.85,27.25
2021-05-01,30 Apr 05:00,27.25,27.25,27.55
2021-05-02,30 Apr 05:00,27.25,27.25,27.55
2021-05-03,30 Apr 05:00,27.25,27.25,27.55
2021-05-04,30 Apr 05:00,27.25,27.25,27.55
2021-05-05,30 Apr 05:00,27.25,27.25,27.55
2021-05-06,30 Apr 05:00,27.25,27.25,27.55
2021-05-07,30 Apr 05:00,27.25,27.25,27.55
2021-05-08,07 May 05:00,27.75,27.75,27.75
2021-05-09,07 May 05:00,27.75,27.75,27.75
2021-05-10,07 May 05:00,27.75,27.75,27.75
2021-05-11,07 May 05:00,27.75,27.75,27.75
2021-05-12,07 May 05:00,27.75,27.75,27.75
2021-05-13,07 May 05:00,27.75,27.75,27.75
2021-05-14,13 May 05:00,27.35,27.35,27.75
2021-05-15,13 May 05:00,27.35,27.35,27.35
2021-05-16,13 May 05:00,27.35,27.35,27.35
2021-05-17,14 May 05:00,27.35,27.35,27.35
2021-05-18,14 May 05:00,27.35,27.35,27.35
2021-05-19,18 May 05:00,27.35,27.35,27.85
